Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Role
Poor,Beginner,Not Interested,Average,Intermediate,Average,Professional,Beginner,Beginner,Intermediate,Intermediate,Intermediate,Not Interested,Excellent,Excellent,Intermediate,Beginner,Data Scientist
Intermediate,Poor,Not Interested,Poor,Average,Intermediate,Professional,Average,Average,Average,Intermediate,Beginner,Beginner,Beginner,Excellent,Average,Intermediate,Data Scientist
Not Interested,Intermediate,Professional,Beginner,Intermediate,Average,Professional,Poor,Intermediate,Poor,Intermediate,Average,Poor,Beginner,Excellent,Not Interested,Excellent,Data Scientist
Not Interested,Poor,Professional,Intermediate,Beginner,Average,Professional,Not Interested,Average,Average,Intermediate,Beginner,Beginner,Poor,Excellent,Intermediate,Not Interested,Data Scientist
Beginner,Beginner,Beginner,Professional,Average,Poor,Professional,Beginner,Professional,Beginner,Intermediate,Intermediate,Average,Beginner,Excellent,Professional,Average,Data Scientist
Average,Beginner,Not Interested,Poor,Average,Not Interested,Professional,Intermediate,Intermediate,Average,Intermediate,Beginner,Professional,Beginner,Excellent,Average,Beginner,Data Scientist
Intermediate,Poor,Beginner,Intermediate,Intermediate,Beginner,Professional,Not Interested,Not Interested,Not Interested,Intermediate,Poor,Excellent,Poor,Excellent,Poor,Average,Data Scientist
Beginner,Intermediate,Professional,Professional,Average,Intermediate,Professional,Beginner,Average,Not Interested,Intermediate,Intermediate,Intermediate,Average,Excellent,Intermediate,Beginner,Data Scientist
Not Interested,Poor,Poor,Poor,Average,Poor,Professional,Beginner,Average,Average,Intermediate,Poor,Poor,Average,Excellent,Poor,Excellent,Data Scientist
Poor,Beginner,Not Interested,Intermediate,Intermediate,Not Interested,Professional,Not Interested,Average,Not Interested,Intermediate,Average,Excellent,Average,Excellent,Not Interested,Beginner,Data Scientist
Beginner,Average,Professional,Not Interested,Excellent,Poor,Professional,Not Interested,Average,Average,Intermediate,Intermediate,Professional,Poor,Excellent,Intermediate,Beginner,Data Scientist
Beginner,Beginner,Average,Beginner,Average,Beginner,Professional,Excellent,Not Interested,Beginner,Intermediate,Poor,Poor,Average,Excellent,Average,Beginner,Data Scientist
Poor,Intermediate,Not Interested,Excellent,Excellent,Professional,Professional,Not Interested,Professional,Poor,Intermediate,Poor,Beginner,Average,Excellent,Not Interested,Intermediate,Data Scientist
Poor,Not Interested,Average,Professional,Poor,Average,Professional,Excellent,Beginner,Beginner,Intermediate,Poor,Intermediate,Not Interested,Excellent,Average,Average,Data Scientist
Intermediate,Professional,Professional,Average,Average,Average,Professional,Average,Not Interested,Beginner,Intermediate,Beginner,Intermediate,Professional,Excellent,Poor,Not Interested,Data Scientist
Not Interested,Poor,Poor,Intermediate,Beginner,Beginner,Professional,Intermediate,Professional,Intermediate,Intermediate,Not Interested,Average,Poor,Excellent,Intermediate,Intermediate,Data Scientist
Beginner,Beginner,Average,Average,Average,Poor,Professional,Average,Poor,Intermediate,Intermediate,Poor,Poor,Professional,Excellent,Excellent,Intermediate,Data Scientist
Beginner,Poor,Excellent,Intermediate,Poor,Intermediate,Professional,Poor,Beginner,Professional,Intermediate,Poor,Poor,Average,Excellent,Poor,Poor,Data Scientist
Beginner,Excellent,Intermediate,Intermediate,Beginner,Average,Professional,Beginner,Not Interested,Beginner,Intermediate,Poor,Average,Not Interested,Excellent,Average,Beginner,Data Scientist
Intermediate,Not Interested,Excellent,Average,Average,Average,Professional,Beginner,Professional,Not Interested,Intermediate,Professional,Beginner,Beginner,Excellent,Not Interested,Average,Data Scientist
Poor,Beginner,Average,Average,Professional,Average,Professional,Beginner,Not Interested,Professional,Intermediate,Average,Poor,Beginner,Excellent,Poor,Beginner,Data Scientist
Beginner,Average,Professional,Intermediate,Poor,Poor,Professional,Poor,Professional,Not Interested,Intermediate,Average,Average,Not Interested,Excellent,Poor,Poor,Data Scientist
Excellent,Intermediate,Average,Not Interested,Beginner,Average,Professional,Average,Average,Beginner,Intermediate,Excellent,Average,Intermediate,Excellent,Beginner,Poor,Data Scientist
Intermediate,Intermediate,Beginner,Not Interested,Excellent,Intermediate,Professional,Intermediate,Intermediate,Average,Intermediate,Not Interested,Average,Beginner,Excellent,Professional,Intermediate,Data Scientist
Average,Not Interested,Not Interested,Professional,Average,Average,Professional,Intermediate,Intermediate,Poor,Intermediate,Not Interested,Professional,Average,Excellent,Professional,Professional,Data Scientist
Beginner,Intermediate,Intermediate,Beginner,Average,Intermediate,Professional,Intermediate,Average,Poor,Intermediate,Professional,Professional,Excellent,Excellent,Intermediate,Average,Data Scientist
Beginner,Not Interested,Excellent,Beginner,Not Interested,Not Interested,Professional,Poor,Intermediate,Beginner,Intermediate,Poor,Professional,Professional,Excellent,Poor,Not Interested,Data Scientist
Intermediate,Poor,Average,Beginner,Intermediate,Professional,Professional,Intermediate,Beginner,Average,Intermediate,Professional,Average,Beginner,Excellent,Not Interested,Beginner,Data Scientist
Not Interested,Professional,Professional,Average,Not Interested,Beginner,Professional,Professional,Poor,Beginner,Intermediate,Average,Average,Beginner,Excellent,Beginner,Average,Data Scientist
Intermediate,Intermediate,Beginner,Not Interested,Average,Not Interested,Professional,Professional,Average,Beginner,Intermediate,Poor,Not Interested,Poor,Excellent,Intermediate,Poor,Data Scientist
Poor,Not Interested,Beginner,Intermediate,Not Interested,Poor,Professional,Beginner,Average,Beginner,Intermediate,Professional,Excellent,Poor,Excellent,Beginner,Not Interested,Data Scientist
Poor,Poor,Beginner,Not Interested,Poor,Intermediate,Professional,Not Interested,Intermediate,Average,Intermediate,Poor,Beginner,Professional,Excellent,Average,Not Interested,Data Scientist
Not Interested,Intermediate,Poor,Beginner,Beginner,Intermediate,Professional,Intermediate,Intermediate,Average,Intermediate,Poor,Not Interested,Poor,Excellent,Average,Poor,Data Scientist
Professional,Poor,Average,Beginner,Not Interested,Not Interested,Professional,Average,Beginner,Beginner,Intermediate,Poor,Beginner,Poor,Excellent,Intermediate,Average,Data Scientist
Beginner,Beginner,Beginner,Average,Not Interested,Not Interested,Professional,Beginner,Professional,Beginner,Intermediate,Professional,Average,Average,Excellent,Average,Not Interested,Data Scientist
Poor,Beginner,Average,Not Interested,Average,Beginner,Professional,Not Interested,Beginner,Excellent,Intermediate,Beginner,Not Interested,Beginner,Excellent,Professional,Not Interested,Data Scientist
Beginner,Professional,Not Interested,Intermediate,Beginner,Poor,Professional,Average,Professional,Beginner,Intermediate,Excellent,Poor,Excellent,Excellent,Poor,Beginner,Data Scientist
Beginner,Poor,Beginner,Poor,Intermediate,Not Interested,Professional,Average,Not Interested,Professional,Intermediate,Average,Average,Beginner,Excellent,Intermediate,Poor,Data Scientist
Intermediate,Beginner,Poor,Beginner,Professional,Beginner,Professional,Average,Not Interested,Beginner,Intermediate,Average,Not Interested,Beginner,Excellent,Average,Intermediate,Data Scientist
Intermediate,Professional,Beginner,Intermediate,Not Interested,Not Interested,Professional,Professional,Average,Excellent,Intermediate,Professional,Excellent,Beginner,Excellent,Not Interested,Beginner,Data Scientist
Intermediate,Average,Beginner,Average,Average,Poor,Professional,Average,Poor,Not Interested,Intermediate,Beginner,Average,Beginner,Excellent,Professional,Intermediate,Data Scientist
Poor,Professional,Poor,Average,Average,Average,Professional,Not Interested,Poor,Intermediate,Intermediate,Average,Beginner,Beginner,Excellent,Poor,Beginner,Data Scientist
Poor,Not Interested,Average,Beginner,Average,Beginner,Professional,Average,Poor,Professional,Intermediate,Poor,Intermediate,Poor,Excellent,Intermediate,Beginner,Data Scientist
Excellent,Poor,Beginner,Poor,Professional,Average,Professional,Professional,Excellent,Average,Intermediate,Average,Not Interested,Average,Excellent,Average,Intermediate,Data Scientist
Intermediate,Poor,Intermediate,Not Interested,Average,Beginner,Professional,Not Interested,Professional,Professional,Intermediate,Average,Poor,Intermediate,Excellent,Beginner,Average,Data Scientist
Average,Intermediate,Average,Beginner,Average,Excellent,Professional,Average,Beginner,Beginner,Intermediate,Poor,Poor,Excellent,Excellent,Intermediate,Intermediate,Data Scientist
Intermediate,Not Interested,Beginner,Poor,Poor,Beginner,Professional,Intermediate,Average,Beginner,Intermediate,Average,Not Interested,Intermediate,Excellent,Average,Not Interested,Data Scientist
Beginner,Beginner,Professional,Not Interested,Beginner,Beginner,Professional,Excellent,Not Interested,Not Interested,Intermediate,Beginner,Beginner,Average,Excellent,Beginner,Poor,Data Scientist
Intermediate,Beginner,Excellent,Poor,Poor,Beginner,Professional,Poor,Average,Average,Intermediate,Not Interested,Not Interested,Excellent,Excellent,Professional,Not Interested,Data Scientist
Beginner,Beginner,Average,Poor,Not Interested,Excellent,Professional,Intermediate,Beginner,Not Interested,Intermediate,Beginner,Professional,Professional,Excellent,Beginner,Intermediate,Data Scientist
Beginner,Poor,Beginner,Professional,Poor,Poor,Professional,Intermediate,Average,Average,Intermediate,Not Interested,Not Interested,Beginner,Excellent,Not Interested,Average,Data Scientist
Poor,Intermediate,Poor,Poor,Professional,Beginner,Professional,Poor,Beginner,Average,Intermediate,Not Interested,Average,Beginner,Excellent,Excellent,Not Interested,Data Scientist
Professional,Not Interested,Not Interested,Intermediate,Average,Not Interested,Professional,Intermediate,Beginner,Average,Intermediate,Average,Intermediate,Poor,Excellent,Beginner,Intermediate,Data Scientist
Beginner,Poor,Average,Intermediate,Beginner,Poor,Professional,Professional,Average,Not Interested,Intermediate,Beginner,Professional,Average,Excellent,Beginner,Beginner,Data Scientist
Average,Beginner,Intermediate,Beginner,Beginner,Professional,Professional,Beginner,Average,Beginner,Intermediate,Average,Average,Intermediate,Excellent,Not Interested,Average,Data Scientist
Not Interested,Average,Average,Intermediate,Not Interested,Average,Professional,Beginner,Average,Intermediate,Intermediate,Not Interested,Excellent,Poor,Excellent,Beginner,Not Interested,Data Scientist
Poor,Intermediate,Not Interested,Intermediate,Intermediate,Beginner,Professional,Professional,Beginner,Average,Intermediate,Not Interested,Intermediate,Beginner,Excellent,Average,Professional,Data Scientist
Not Interested,Not Interested,Average,Beginner,Average,Not Interested,Professional,Poor,Not Interested,Poor,Intermediate,Average,Beginner,Professional,Excellent,Not Interested,Poor,Data Scientist
Average,Poor,Beginner,Beginner,Excellent,Intermediate,Professional,Not Interested,Intermediate,Professional,Intermediate,Professional,Average,Beginner,Excellent,Beginner,Professional,Data Scientist
Average,Professional,Not Interested,Intermediate,Intermediate,Intermediate,Professional,Excellent,Excellent,Intermediate,Intermediate,Professional,Not Interested,Beginner,Excellent,Beginner,Average,Data Scientist
Average,Beginner,Average,Average,Not Interested,Excellent,Professional,Beginner,Professional,Average,Intermediate,Poor,Average,Average,Excellent,Intermediate,Not Interested,Data Scientist
Beginner,Professional,Poor,Beginner,Professional,Poor,Professional,Intermediate,Average,Poor,Intermediate,Average,Average,Intermediate,Excellent,Beginner,Professional,Data Scientist
Intermediate,Beginner,Intermediate,Beginner,Beginner,Beginner,Professional,Poor,Average,Intermediate,Intermediate,Intermediate,Not Interested,Average,Excellent,Beginner,Average,Data Scientist
Not Interested,Not Interested,Poor,Average,Intermediate,Average,Professional,Poor,Average,Average,Intermediate,Not Interested,Beginner,Average,Excellent,Intermediate,Beginner,Data Scientist
Beginner,Intermediate,Average,Beginner,Poor,Excellent,Professional,Poor,Average,Average,Intermediate,Intermediate,Average,Beginner,Excellent,Average,Intermediate,Data Scientist
Excellent,Beginner,Professional,Professional,Excellent,Intermediate,Professional,Excellent,Not Interested,Poor,Intermediate,Poor,Average,Poor,Excellent,Poor,Professional,Data Scientist
Average,Not Interested,Not Interested,Not Interested,Professional,Poor,Professional,Professional,Beginner,Intermediate,Intermediate,Not Interested,Poor,Excellent,Excellent,Beginner,Beginner,Data Scientist
Poor,Poor,Excellent,Average,Beginner,Poor,Professional,Poor,Beginner,Intermediate,Intermediate,Beginner,Poor,Intermediate,Excellent,Beginner,Beginner,Data Scientist
Poor,Average,Excellent,Average,Not Interested,Average,Professional,Beginner,Average,Average,Intermediate,Average,Poor,Average,Excellent,Intermediate,Intermediate,Data Scientist
Intermediate,Beginner,Average,Average,Not Interested,Professional,Professional,Average,Professional,Beginner,Intermediate,Beginner,Poor,Poor,Excellent,Beginner,Average,Data Scientist
Professional,Average,Professional,Intermediate,Poor,Beginner,Professional,Intermediate,Beginner,Poor,Intermediate,Average,Average,Excellent,Excellent,Average,Professional,Data Scientist
Not Interested,Poor,Beginner,Beginner,Beginner,Average,Professional,Not Interested,Not Interested,Intermediate,Intermediate,Intermediate,Beginner,Average,Excellent,Poor,Average,Data Scientist
Beginner,Beginner,Poor,Not Interested,Average,Beginner,Professional,Beginner,Intermediate,Poor,Intermediate,Intermediate,Poor,Beginner,Excellent,Not Interested,Intermediate,Data Scientist
